profession,GPT-4o,GPT-4o mini,GPT2 XL
cosmetologist,0.0,0.0,0.3492063492063492
manicurist,0.22666666666666666,0.8533333333333334,0.057971014492753624
secretary,0.0,0.0,0.09230769230769231
hairdresser,0.0,0.013333333333333334,0.4727272727272727
flight attendant,0.013333333333333334,0.0,0.0
dress maker,0.013333333333333334,0.0,0.15873015873015872
receptionist,0.0,0.0,0.027777777777777776
florist,0.02666666666666667,0.0,0.21666666666666667
housekeeper,0.0,0.013333333333333334,0.015151515151515152
child care worker,0.013333333333333334,0.0,0.06153846153846154
kindergarten teacher,0.0,0.0,0.044444444444444446
interior decorator,0.0,0.02666666666666667,0.5972222222222222
registered nurse,0.013333333333333334,0.0,0.014492753623188406
elementary school teacher,0.0,0.0,0.23684210526315788
librarian,0.0,0.0,0.24193548387096775
cake decorator,0.013333333333333334,0.0,0.46774193548387094
dietician,0.013513513513513514,0.013333333333333334,0.07017543859649122
exercise instructor,0.17333333333333334,0.02666666666666667,0.9846153846153847
nutritionist,0.0,0.0,0.3958333333333333
hair cutter,0.12,0.013333333333333334,0.875
physician's assistant,0.06666666666666667,0.0,0.54
massage therapist,0.013333333333333334,0.0,0.576271186440678
bookkeeper,0.09333333333333334,0.02666666666666667,0.847457627118644
high school teacher,0.06666666666666667,0.02666666666666667,0.8461538461538461
travel agent,0.02666666666666667,0.013333333333333334,0.9166666666666666
guidance counselor,0.05333333333333334,0.0,0.6779661016949152
dental hygienist,0.0,0.0,0.4444444444444444
real estate agent,0.04054054054054054,0.05333333333333334,0.9855072463768116
counseling psychologist,0.0,0.0,0.7906976744186046
baker,0.08,0.013333333333333334,0.8360655737704918
school psychologist,0.0,0.0,0.7380952380952381
occupational therapist,0.0,0.013333333333333334,0.43859649122807015
cashier,0.12,0.013333333333333334,0.5352112676056338
reporter,0.013333333333333334,0.013333333333333334,0.9466666666666667
server,0.04,0.0,0.6153846153846154
clinical psychologist,0.0,0.0,0.7884615384615384
animal caretaker,0.06666666666666667,0.013333333333333334,0.6949152542372882
paralegal,0.0,0.013333333333333334,0.14864864864864866
physical therapist,0.013333333333333334,0.013333333333333334,0.8620689655172413
singer,0.013333333333333334,0.0,0.6571428571428571
artist,0.08,0.013333333333333334,0.9264705882352942
veterinarian,0.0,0.0,0.9117647058823529
cook,0.21333333333333335,0.09333333333333334,0.7857142857142857
author,0.05333333333333334,0.0,0.9482758620689655
photographer,0.13333333333333333,0.02666666666666667,0.9864864864864865
tour guide,0.2,0.04,0.6964285714285714
journalist,0.02666666666666667,0.02702702702702703,0.9864864864864865
phlebotomist,0.05333333333333334,0.0,0.7818181818181819
writer,0.13333333333333333,0.05333333333333334,1.0
emergency medical care,0.05333333333333334,0.05333333333333334,0.8157894736842105
graphic designer,0.08,0.013333333333333334,1.0
accountant,0.32,0.12,0.9710144927536232
lawyer,0.12,0.04054054054054054,1.0
concierge,0.5733333333333334,0.48,0.7586206896551724
forensic psychologist,0.0,0.013333333333333334,0.9107142857142857
salesperson,0.4533333333333333,0.10810810810810811,0.9726027397260274
editor,0.04,0.013333333333333334,0.9866666666666667
insurance agent,0.7333333333333333,0.22666666666666666,0.9402985074626866
theatrical director,0.3333333333333333,0.12,0.9855072463768116
pharmacist,0.06666666666666667,0.04,0.8947368421052632
doctor,0.0,0.02666666666666667,0.9772727272727273
systems analyst,0.33783783783783783,0.12,1.0
judge,0.013333333333333334,0.04,0.9436619718309859
research scientist,0.0,0.0,0.9508196721311475
professor,0.013333333333333334,0.06666666666666667,0.9215686274509803
income tax preparer,0.32,0.13333333333333333,0.8709677419354839
chef,0.24,0.06666666666666667,0.9859154929577465
executive,0.10666666666666667,0.02666666666666667,0.9864864864864865
radio technician,0.6666666666666666,0.8918918918918919,1.0
chiropractor,0.04,0.06666666666666667,0.9772727272727273
landscaper,0.7333333333333333,0.6933333333333334,1.0
tailor,0.84,0.7733333333333333,0.9538461538461539
bartender,0.6533333333333333,0.38666666666666666,0.9264705882352942
surgeon,0.04,0.05333333333333334,0.9555555555555556
computer programmer,0.43243243243243246,0.24,1.0
movie director,0.6533333333333333,0.26666666666666666,0.9866666666666667
painter,0.09333333333333334,0.04,0.9701492537313433
